"accession_id","name","country","latitude","longitude","count_phenotypes"
1,"ALL1-2","France",45.2667,1.48333,130
2,"ALL1-3","France",45.2667,1.48333,115
4,"ALL1-5","France",45.2667,1.48333,0
5,"ALL1-6","France",45.2667,1.48333,8
6,"ALL1-7","France",45.2667,1.48333,8
7,"ALL1-8","France",45.2667,1.48333,6
8,"ALL1-9","France",45.2667,1.48333,8
9,"ALL2-1","France",45.2667,1.48333,8
12,"ALL2-4","France",45.2667,1.48333,6
23,"CAM-16","France",48.2667,-4.58333,129
32,"CAM-25","France",48.2667,-4.58333,8
45,"CAM-42","France",48.2667,-4.58333,6
48,"CAM-45","France",48.2667,-4.58333,8
51,"CAM-48","France",48.2667,-4.58333,7
60,"CAM-56","France",48.2667,-4.58333,8
62,"CAM-58","France",48.2667,-4.58333,8
66,"CAM-61","France",48.2667,-4.58333,129
69,"CAM-64","France",48.2667,-4.58333,6
74,"CAM-7","France",48.2667,-4.58333,8
77,"CLA-7","France",48.8,2.26667,5
79,"CUR-10","France",45,1.75,8
80,"CUR-2","France",45,1.75,8
81,"CUR-3","France",45,1.75,126
82,"CUR-4","France",45,1.75,8
83,"CUR-5","France",45,1.75,8
84,"CUR-6","France",45,1.75,8
85,"CUR-7","France",45,1.75,8
86,"CUR-8","France",45,1.75,22
87,"CUR-9","France",45,1.75,8
88,"CYR","France",47.4,0.683333,23
89,"DAM1","France",48.7,1.98333,8
91,"JEA","France",43.6833,7.33333,122
94,"LAC-3","France",47.7,6.81667,129
96,"LAC-5","France",47.7,6.81667,215
104,"LDV-14","France",48.5167,-4.06667,111
106,"LDV-16","France",48.5167,-4.06667,0
108,"LDV-18","France",48.5167,-4.06667,15
116,"LDV-25","France",48.5167,-4.06667,127
121,"LDV-3","France",48.5167,-4.06667,6
122,"LDV-30","France",48.5167,-4.06667,8
123,"LDV-31","France",48.5167,-4.06667,8
126,"LDV-34","France",48.5167,-4.06667,128
137,"LDV-44","France",48.5167,-4.06667,6
139,"LDV-46","France",48.5167,-4.06667,18
146,"LDV-53","France",48.5167,-4.06667,6
148,"LDV-57","France",48.5167,-4.06667,0
149,"LDV-58","France",48.5167,-4.06667,210
151,"LDV-6","France",48.5167,-4.06667,8
153,"LDV-68","France",48.5167,-4.06667,8
156,"LDV-70","France",48.5167,-4.06667,8
157,"LDV-8","France",48.5167,-4.06667,8
159,"MAR2-3","France",47.35,3.93333,144
160,"MIB-1","France",47.3833,5.31667,8
162,"MIB-100","France",47.3833,5.31667,8
163,"MIB-11","France",47.3833,5.31667,0
165,"MIB-14","France",47.3833,5.31667,6
166,"MIB-15","France",47.3833,5.31667,129
167,"MIB-16","France",47.3833,5.31667,6
168,"MIB-17","France",47.3833,5.31667,8
169,"MIB-19","France",47.3833,5.31667,1
170,"MIB-2","France",47.3833,5.31667,5
171,"MIB-20","France",47.3833,5.31667,8
173,"MIB-22","France",47.3833,5.31667,131
174,"MIB-23","France",47.3833,5.31667,5
175,"MIB-24","France",47.3833,5.31667,8
178,"MIB-28","France",47.3833,5.31667,129
179,"MIB-29","France",47.3833,5.31667,8
183,"MIB-32","France",47.3833,5.31667,8
184,"MIB-33","France",47.3833,5.31667,8
185,"MIB-34","France",47.3833,5.31667,6
186,"MIB-35","France",47.3833,5.31667,5
187,"MIB-36","France",47.3833,5.31667,8
188,"MIB-37","France",47.3833,5.31667,8
190,"MIB-39","France",47.3833,5.31667,8
191,"MIB-40","France",47.3833,5.31667,8
194,"MIB-43","France",47.3833,5.31667,8
196,"MIB-47","France",47.3833,5.31667,8
198,"MIB-50","France",47.3833,5.31667,8
200,"MIB-54","France",47.3833,5.31667,7
201,"MIB-55","France",47.3833,5.31667,8
202,"MIB-57","France",47.3833,5.31667,8
203,"MIB-58","France",47.3833,5.31667,8
204,"MIB-60","France",47.3833,5.31667,55
205,"MIB-61","France",47.3833,5.31667,5
206,"MIB-62","France",47.3833,5.31667,44
207,"MIB-63","France",47.3833,5.31667,8
208,"MIB-64","France",47.3833,5.31667,8
210,"MIB-67","France",47.3833,5.31667,6
212,"MIB-69","France",47.3833,5.31667,8
213,"MIB-70","France",47.3833,5.31667,6
214,"MIB-73","France",47.3833,5.31667,6
215,"MIB-75","France",47.3833,5.31667,8
216,"MIB-76","France",47.3833,5.31667,7
217,"MIB-77","France",47.3833,5.31667,8
219,"MIB-80","France",47.3833,5.31667,7
222,"MIB-83","France",47.3833,5.31667,5
223,"MIB-84","France",47.3833,5.31667,121
224,"MIB-86","France",47.3833,5.31667,90
225,"MIB-87","France",47.3833,5.31667,8
227,"MIB-89","France",47.3833,5.31667,8
228,"MIB-9","France",47.3833,5.31667,8
229,"MIB-90","France",47.3833,5.31667,5
230,"MIB-92","France",47.3833,5.31667,5
231,"MIB-93","France",47.3833,5.31667,6
236,"MOG-11","France",48.6667,-4.06667,87
237,"MOG-12","France",48.6667,-4.06667,6
242,"MOG-37","France",48.6667,-4.06667,130
244,"MOG-40","France",48.6667,-4.06667,6
252,"MOG-55","France",48.6667,-4.06667,44
257,"PAR-10","France",46.65,-0.25,8
258,"PAR-3","France",46.65,-0.25,128
259,"PAR-4","France",46.65,-0.25,130
260,"PAR-5","France",46.65,-0.25,106
261,"PAR-6","France",46.65,-0.25,8
262,"PAR-8","France",46.65,-0.25,87
263,"PAR-9","France",46.65,-0.25,8
264,"PON","France",45.75,4.71667,44
265,"PYL-6","France",44.65,-1.16667,133
266,"RAN","France",48.65,-2,56
267,"ROM-1","France",45.5333,4.85,118
268,"ROM-2","France",45.5333,4.85,6
269,"ROM-9","France",45.5333,4.85,8
273,"TOU-A1-105","France",46.6667,4.11667,7
275,"TOU-A1-109","France",46.6667,4.11667,3
277,"TOU-A1-111","France",46.6667,4.11667,5
278,"TOU-A1-112","France",46.6667,4.11667,6
280,"TOU-A1-114","France",46.6667,4.11667,8
281,"TOU-A1-115","France",46.6667,4.11667,128
282,"TOU-A1-116","France",46.6667,4.11667,130
283,"TOU-A1-117","France",46.6667,4.11667,8
287,"TOU-A1-120","France",46.6667,4.11667,8
288,"TOU-A1-122","France",46.6667,4.11667,4
290,"TOU-A1-124","France",46.6667,4.11667,6
291,"TOU-A1-125","France",46.6667,4.11667,5
292,"TOU-A1-128","France",46.6667,4.11667,8
293,"TOU-A1-129","France",46.6667,4.11667,8
295,"TOU-A1-131","France",46.6667,4.11667,8
296,"TOU-A1-133","France",46.6667,4.11667,7
297,"TOU-A1-134","France",46.6667,4.11667,8
298,"TOU-A1-137","France",46.6667,4.11667,6
302,"TOU-A1-143","France",46.6667,4.11667,8
306,"TOU-A1-18","France",46.6667,4.11667,5
309,"TOU-A1-23","France",46.6667,4.11667,8
310,"TOU-A1-26","France",46.6667,4.11667,8
311,"TOU-A1-27","France",46.6667,4.11667,0
314,"TOU-A1-33","France",46.6667,4.11667,8
316,"TOU-A1-37","France",46.6667,4.11667,6
318,"TOU-A1-39","France",46.6667,4.11667,8
320,"TOU-A1-41","France",46.6667,4.11667,8
321,"TOU-A1-43","France",46.6667,4.11667,130
322,"TOU-A1-45","France",46.6667,4.11667,5
323,"TOU-A1-47","France",46.6667,4.11667,8
326,"TOU-A1-60","France",46.6667,4.11667,8
327,"TOU-A1-61","France",46.6667,4.11667,8
328,"TOU-A1-62","France",46.6667,4.11667,131
329,"TOU-A1-63","France",46.6667,4.11667,6
331,"TOU-A1-65","France",46.6667,4.11667,7
332,"TOU-A1-66","France",46.6667,4.11667,6
334,"TOU-A1-68","France",46.6667,4.11667,8
335,"TOU-A1-69","France",46.6667,4.11667,8
337,"TOU-A1-70","France",46.6667,4.11667,8
338,"TOU-A1-73","France",46.6667,4.11667,5
339,"TOU-A1-74","France",46.6667,4.11667,8
340,"TOU-A1-75","France",46.6667,4.11667,6
341,"TOU-A1-77","France",46.6667,4.11667,8
343,"TOU-A1-79","France",46.6667,4.11667,5
346,"TOU-A1-81","France",46.6667,4.11667,6
347,"TOU-A1-82","France",46.6667,4.11667,8
348,"TOU-A1-84","France",46.6667,4.11667,6
349,"TOU-A1-85","France",46.6667,4.11667,5
350,"TOU-A1-88","France",46.6667,4.11667,10
351,"TOU-A1-89","France",46.6667,4.11667,10
355,"TOU-A1-93","France",46.6667,4.11667,8
357,"TOU-A1-96","France",46.6667,4.11667,68
359,"TOU-A1-98","France",46.6667,4.11667,8
360,"TOU-C-1","France",46.6667,4.11667,8
361,"TOU-C-2","France",46.6667,4.11667,8
362,"TOU-C-3","France",46.6667,4.11667,122
363,"TOU-D-1","France",46.6667,4.11667,8
364,"TOU-D-5","France",46.6667,4.11667,8
366,"TOU-E-11","France",46.6667,4.11667,115
367,"TOU-E-2","France",46.6667,4.11667,7
368,"TOU-E-7","France",46.6667,4.11667,8
369,"TOU-F-1","France",46.6667,4.11667,6
371,"TOU-G-1","France",46.6667,4.11667,5
372,"TOU-H-10","France",46.6667,4.11667,8
373,"TOU-H-12","France",46.6667,4.11667,110
374,"TOU-H-13","France",46.6667,4.11667,129
375,"TOU-H-3","France",46.6667,4.11667,8
377,"TOU-I-1","France",46.6667,4.11667,6
378,"TOU-I-17","France",46.6667,4.11667,129
379,"TOU-I-2","France",46.6667,4.11667,130
380,"TOU-I-6","France",46.6667,4.11667,129
383,"TOU-J-3","France",46.6667,4.11667,118
385,"TOU-K-2","France",46.6667,4.11667,8
386,"TOU-K-3","France",46.6667,4.11667,124
387,"TOU-L-10","France",46.6667,4.11667,8
388,"TOU-L-17","France",46.6667,4.11667,8
389,"TOU-L-5","France",46.6667,4.11667,7
390,"VOU-1","France",46.65,0.166667,124
391,"VOU-10","France",46.65,0.166667,8
392,"VOU-2","France",46.65,0.166667,130
393,"VOU-4","France",46.65,0.166667,8
394,"VOU-5","France",46.65,0.166667,92
395,"VOU-6","France",46.65,0.166667,8
396,"VOU-7","France",46.65,0.166667,6
397,"VOU-8","France",46.65,0.166667,6
402,"Zdarec2","Czech Republic",49.3667,16.2667,0
403,"Zdarec3","Czech Republic",49.3667,16.2667,132
404,"Doubravnik1","Czech Republic",49.4211,16.3497,0
407,"Doubravnik4","Czech Republic",49.4211,16.3497,0
